id,title,region_id,address,serial_number,email,owner,ownership_type,phone,place_type,created_at,updated_at,type_id,msisdn,is_user_submitted,latitude,longitude,alternative_names,status,hmis,remarks,registration_num,source,current_id
19768,Luwa,25690,,5385,,LGA,Government,,,2013-01-24 00:34:14.682019+00,2013-01-24 00:34:14.682068+00,16,,f,-7.85961,31.52835,"",Operating,1504014,"","","",1504017
19769,Mahabusu,25692,,5386,,Prisons,Government,,,2013-01-24 00:34:14.719555+00,2013-01-24 00:34:14.719607+00,16,,f,,,"",Operating,1504019,"","","",1504018
19770,Majengo,25694,,5387,,LGA,Government,,,2013-01-24 00:34:14.755584+00,2013-01-24 00:34:14.755637+00,16,,f,-7.94782,31.62607,"",Operating,1504009,"","","",1504019
19771,Malagano,25695,,5388,,LGA,Government,,,2013-01-24 00:34:14.788679+00,2013-01-24 00:34:14.788731+00,16,,f,-8.1437,31.62508,"",Operating,1504022,Edited name from Malangano to Malagano,"","",1504020
19772,Malonje,25696,,5415,,TASAF,Government,,,2013-01-24 00:34:14.820038+00,2013-01-24 00:34:14.820086+00,16,,f,,,"",Under Construction,"","","","",1504049
19773,Mandela,25692,,5416,,LGA,Government,,,2013-01-24 00:34:14.851523+00,2013-01-24 00:34:14.851577+00,16,,f,,,"",Under Construction,"","","","",1504050
19774,Matanga,25697,,5389,,LGA,Government,,,2013-01-24 00:34:14.880265+00,2013-01-24 00:34:14.880307+00,16,,f,,,"",Operating,1504031,"","","",1504023
19775,Mawenzusi,25698,,5390,,LGA,Government,,,2013-01-24 00:34:14.90751+00,2013-01-24 00:34:14.907554+00,16,,f,,,"",Operating,1504034,"","","",1504024
19776,Mazwi HC,25692,,5391,,LGA,Government,,,2013-01-24 00:34:14.935894+00,2013-01-24 00:34:14.935948+00,17,,f,-7.96571,31.6133,"",Operating,1504002,"","","",1504025
19777,Mkyeku,25692,,5392,,Private,Private,,,2013-01-24 00:34:14.962925+00,2013-01-24 00:34:14.962969+00,16,,f,,,"",Operating,1504024,"","","",1504026
19778,Mlanda,25700,,5393,,LGA,Government,,,2013-01-24 00:34:14.994313+00,2013-01-24 00:34:14.994362+00,16,,f,-8.05387,31.59565,"",Operating,1504008,"","","",1504027
19779,Mollo,25701,,5394,,LGA,Government,,,2013-01-24 00:34:15.023063+00,2013-01-24 00:34:15.023105+00,16,,f,-8.07913,31.78488,"",Operating,1504013,"","","",1504028
19780,Mtimbwa,25702,,5395,,LGA,Government,,,2013-01-24 00:34:15.050498+00,2013-01-24 00:34:15.05103+00,16,,f,-7.98779,31.53104,"",Operating,1504028,"","","",1504029
19781,Ntendo,25703,,5396,,LGA,Government,,,2013-01-24 00:34:15.08088+00,2013-01-24 00:34:15.080932+00,16,,f,-7.90465,31.53614,"",Operating,1504006,"","","",1504030
19782,Pito,25704,,5397,,RC,FBO,,,2013-01-24 00:34:15.111217+00,2013-01-24 00:34:15.111266+00,16,,f,-8.14357,31.62508,"",Operating,1504027,"","","",1504031
19783,Polisi,25692,,5398,,Police,Government,,,2013-01-24 00:34:15.13801+00,2013-01-24 00:34:15.138066+00,16,,f,,,"",Operating,1504020,"","","",1504032
19784,SDA,25672,,5399,,SDA,FBO,,,2013-01-24 00:34:15.166238+00,2013-01-24 00:34:15.166291+00,16,,f,,,"",Operating,1504015,"","","",1504033
19785,Senga,25705,,5400,,LGA,Government,,,2013-01-24 00:34:15.197399+00,2013-01-24 00:34:15.19745+00,16,,f,-7.9128,31.62631,"",Operating,1504010,"","","",1504034
19786,St. Teresia,25686,,5401,,RC,FBO,,,2013-01-24 00:34:15.225687+00,2013-01-24 00:34:15.225742+00,17,,f,,,"",Operating,1504033,"","","",1504035
19787,Sumbawanga,25692,,5402,,LGA,Government,,,2013-01-24 00:34:15.255206+00,2013-01-24 00:34:15.25526+00,18,,f,-7.96328,31.61355,"",Operating,1504001,"","","",1504036
19788,Tamasenga,25706,,5403,,LGA,Government,,,2013-01-24 00:34:15.287782+00,2013-01-24 00:34:15.287823+00,16,,f,-8.13862,31.67047,"",Operating,1504012,"","","",1504037
19789,Tanganyika,25672,,5417,,Private,Private,,,2013-01-24 00:34:15.322699+00,2013-01-24 00:34:15.322754+00,16,,f,,,"",Closed,"","","","",1504051
19790,Ufipa,25672,,5404,,Private,Private,,,2013-01-24 00:34:15.359646+00,2013-01-24 00:34:15.35969+00,16,,f,,,"",Operating,Not Allocated,"","","",1504038
19791,Ulinji,25707,,5405,,LGA,Government,,,2013-01-24 00:34:15.407519+00,2013-01-24 00:34:15.407576+00,16,,f,-8.03428,31.70574,"",Operating,1504011,"","","",1504039
19792,202 KJ,25711,,5099,,TPDF,Government,,,2013-01-24 00:34:15.460709+00,2013-01-24 00:34:15.460766+00,16,,f,,,"",Operating,41,"","","",1406001
19793,Ardhi,25711,,5100,,Other MDAs,Government,,,2013-01-24 00:34:15.510483+00,2013-01-24 00:34:15.510648+00,16,,f,,,"",Operating,Not Allocated,"","","",1406002
