id,title,type_id,parent_region_id,created_at,updated_at
22966,Usevya,6,22924,2013-01-24 00:29:33.246996+00,2013-01-24 00:29:33.247052+00
22967,Usevya,5,22966,2013-01-24 00:29:33.336596+00,2013-01-24 00:29:33.336643+00
22968,Utende,6,22902,2013-01-24 00:29:33.518354+00,2013-01-24 00:29:33.51841+00
22969,Utende,5,22968,2013-01-24 00:29:33.522915+00,2013-01-24 00:29:33.522965+00
22970,Kashaulili,4,22888,2013-01-24 00:29:33.690691+00,2013-01-24 00:29:33.690745+00
22971,Kashaulili,6,22970,2013-01-24 00:29:33.768704+00,2013-01-24 00:29:33.768762+00
22972,Makanyagio,5,22971,2013-01-24 00:29:33.774093+00,2013-01-24 00:29:33.774145+00
22973,Madukani,5,22971,2013-01-24 00:29:34.079543+00,2013-01-24 00:29:34.079772+00
22974,Kashaulili,5,22971,2013-01-24 00:29:34.308164+00,2013-01-24 00:29:34.308211+00
22975,Mji Mwema,5,22971,2013-01-24 00:29:34.751544+00,2013-01-24 00:29:34.751617+00
22976,Kawajense,5,22971,2013-01-24 00:29:35.00999+00,2013-01-24 00:29:35.010041+00
22977,Kawanjense,6,22970,2013-01-24 00:29:35.2476+00,2013-01-24 00:29:35.247652+00
22978,Kawanjense A,5,22977,2013-01-24 00:29:35.252995+00,2013-01-24 00:29:35.253036+00
22979,Mpanda Hotel,5,22971,2013-01-24 00:29:35.535948+00,2013-01-24 00:29:35.535997+00
22980,Mpwapwa,3,18045,2013-01-24 00:29:35.671908+00,2013-01-24 00:29:35.671955+00
22981,Mpwapwa,4,22980,2013-01-24 00:29:35.739824+00,2013-01-24 00:29:35.739874+00
22982,Mpwapwa,6,22981,2013-01-24 00:29:35.818506+00,2013-01-24 00:29:35.818553+00
22983,Mpwapwa,5,22982,2013-01-24 00:29:35.825571+00,2013-01-24 00:29:35.825621+00
22984,Berege,5,22982,2013-01-24 00:29:36.055283+00,2013-01-24 00:29:36.055348+00
22985,Rudi,4,22980,2013-01-24 00:29:36.310662+00,2013-01-24 00:29:36.310726+00
22986,Mlunduzi,6,22985,2013-01-24 00:29:36.318471+00,2013-01-24 00:29:36.318558+00
22987,Chaludewa,5,22986,2013-01-24 00:29:36.399607+00,2013-01-24 00:29:36.399672+00
22988,Chinyanghuku,5,22986,2013-01-24 00:29:36.685131+00,2013-01-24 00:29:36.685179+00
22989,Chipogoro,5,22986,2013-01-24 00:29:36.947724+00,2013-01-24 00:29:36.947771+00
22990,Chitemo,5,22982,2013-01-24 00:29:37.114032+00,2013-01-24 00:29:37.114088+00
